input,eval_context,expected_output
Quick question — What does BSA 2023 say about expert opinions?,REFERENCE ANSWER: BSA s.39: opinions of experts are relevant facts on specialised points. | EXPECTED CITATIONS: BSA s.39,BSA s.39: opinions of experts are relevant facts on specialised points.
Quick question — What does BSA Section 2 define?,"REFERENCE ANSWER: BSA s.2: definitions, including 'evidence'. | EXPECTED CITATIONS: BSA s.2","BSA s.2: definitions, including 'evidence'."
Could you tell me: What does BNS Section 103 prescribe for murder?,"REFERENCE ANSWER: BNS s.103: murder punishable by death or life imprisonment, plus fine. | EXPECTED CITATIONS: BNS s.103","BNS s.103: murder punishable by death or life imprisonment, plus fine."
Could you tell me: What does BNS Section 63 say about rape?,"REFERENCE ANSWER: BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine. | EXPECTED CITATIONS: BNS s.63","BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine."
Quick question — How is robbery defined under the Bharatiya Nyaya Sanhita 2023?,REFERENCE ANSWER: BNS s.309: robbery is theft or extortion with force / fear of instant hurt. | EXPECTED CITATIONS: BNS s.309,BNS s.309: robbery is theft or extortion with force / fear of instant hurt.
Quick question — What are the kinds of punishment under the Bharatiya Nyaya Sanhita?,"REFERENCE ANSWER: BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service. | EXPECTED CITATIONS: BNS s.4","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service."
Quick question — Where are the definitions in the Bharatiya Nyaya Sanhita 2023?,REFERENCE ANSWER: BNS s.2 = definitions used across the Sanhita. | EXPECTED CITATIONS: BNS s.2,BNS s.2 = definitions used across the Sanhita.
Could you tell me: What is the right to life under the Constitution?,REFERENCE ANSWER: Art. 21: no deprivation of life or personal liberty except by procedure established by law. | EXPECTED CITATIONS: Art. 21,Art. 21: no deprivation of life or personal liberty except by procedure established by law.
Quick question — What is the right to equality under the Constitution?,REFERENCE ANSWER: Art. 14: equality before the law and equal protection of the laws. | EXPECTED CITATIONS: Art. 14,Art. 14: equality before the law and equal protection of the laws.
Quick question — What does Article 19 guarantee?,"REFERENCE ANSWER: Art. 19: freedoms of speech, assembly, association, movement, residence, profession. | EXPECTED CITATIONS: Art. 19","Art. 19: freedoms of speech, assembly, association, movement, residence, profession."
Quick question — What is the right to constitutional remedies?,REFERENCE ANSWER: Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs. | EXPECTED CITATIONS: Art. 32,Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.
Quick question — What power do High Courts have under Article 226?,REFERENCE ANSWER: Art. 226: High Court power to issue writs within its territorial jurisdiction. | EXPECTED CITATIONS: Art. 226,Art. 226: High Court power to issue writs within its territorial jurisdiction.
Quick question — When is an agreement a contract under Section 10?,"REFERENCE ANSWER: Contract Act s.10: free consent, competent parties, lawful consideration and object. | EXPECTED CITATIONS: Contract Act s.10","Contract Act s.10: free consent, competent parties, lawful consideration and object."
Quick question — What does Section 2 of the Indian Contract Act define?,"REFERENCE ANSWER: Contract Act s.2: defines proposal, acceptance, promise and consideration. | EXPECTED CITATIONS: Contract Act s.2","Contract Act s.2: defines proposal, acceptance, promise and consideration."
Quick question — What compensation is payable when a contract is broken?,REFERENCE ANSWER: Contract Act s.73: compensation for loss naturally arising from breach; not remote loss. | EXPECTED CITATIONS: Contract Act s.73,Contract Act s.73: compensation for loss naturally arising from breach; not remote loss.
Quick question — Who is a consumer under the CP Act 2019?,REFERENCE ANSWER: CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose. | EXPECTED CITATIONS: CP s.2,CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose.
Quick question — What does Section 35 of the Consumer Protection Act say?,REFERENCE ANSWER: CP s.35: complaint to the District Commission within its pecuniary jurisdiction. | EXPECTED CITATIONS: CP s.35,CP s.35: complaint to the District Commission within its pecuniary jurisdiction.
Quick question — What does Section 17 of the Consumer Protection Act cover?,REFERENCE ANSWER: CP s.17: violation of consumer rights may be raised to the CCPA. | EXPECTED CITATIONS: CP s.17,CP s.17: violation of consumer rights may be raised to the CCPA.
Quick question — How does the DPDP Act define personal data?,REFERENCE ANSWER: DPDP s.2: personal data = data about an identifiable individual. | EXPECTED CITATIONS: DPDP s.2,DPDP s.2: personal data = data about an identifiable individual.
Quick question — When may personal data be processed under the DPDP Act?,"REFERENCE ANSWER: DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses. | EXPECTED CITATIONS: DPDP s.4","DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses."
Quick question — What does Section 8 of the DPDP Act require of a Data Fiduciary?,"REFERENCE ANSWER: DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure. | EXPECTED CITATIONS: DPDP s.8","DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure."
Quick question — What does BNSS Section 173 say about cognizable cases?,REFERENCE ANSWER: BNSS s.173: FIR — information on a cognizable offence recorded in writing. | EXPECTED CITATIONS: BNSS s.173,BNSS s.173: FIR — information on a cognizable offence recorded in writing.
What does IPC Section 302 say about murder?,REFERENCE ANSWER: IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.103,IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023.
What does Section 375 of IPC say about rape?,REFERENCE ANSWER: IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.63,IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023.
What does Section 420 IPC say about cheating?,REFERENCE ANSWER: IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.318,IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023.
What does IPC Section 378 say about theft?,REFERENCE ANSWER: IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.303,IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023.
What does IPC Section 390 say about robbery?,REFERENCE ANSWER: IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.309,IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023.
What does IPC Section 120B say about criminal conspiracy?,REFERENCE ANSWER: IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.61,IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023.
What does IPC Section 498A say about cruelty by a husband?,REFERENCE ANSWER: IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.85,IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023.
What does CrPC Section 154 say about registering an FIR?,REFERENCE ANSWER: CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.173,CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023.
What does CrPC Section 437 say about bail in non-bailable offences?,REFERENCE ANSWER: CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.480,CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023.
What does CrPC Section 482 say about the inherent powers of the High Court?,REFERENCE ANSWER: CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.528,CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023.
What does the Indian Evidence Act say about opinions of experts?,REFERENCE ANSWER: Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.39,Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023.
What does Section 65B of the Indian Evidence Act say about electronic records?,REFERENCE ANSWER: Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.63,Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023.
What does the Consumer Protection Act 1986 say about who is a consumer?,REFERENCE ANSWER: CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2). | EXPECTED CITATIONS: LAW_MAPPINGS:full|CP s.2,CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2).
Is IPC 302 still the law for murder?,REFERENCE ANSWER: IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.103,IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023.
Is IPC 375 still in force for rape?,REFERENCE ANSWER: IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.63,IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023.
Is IPC 420 still the cheating provision?,REFERENCE ANSWER: IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.318,IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023.
Is IPC 378 still the theft provision?,REFERENCE ANSWER: IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.303,IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023.
Is IPC 390 still in force for robbery?,REFERENCE ANSWER: IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.309,IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023.
Is IPC 120B still the conspiracy provision?,REFERENCE ANSWER: IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.61,IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023.
Is IPC 498A still in force?,REFERENCE ANSWER: IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.85,IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023.
Is CrPC 154 still the FIR provision?,REFERENCE ANSWER: CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.173,CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Is CrPC 437 still the bail provision?,REFERENCE ANSWER: CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.480,CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Is CrPC 482 still in force?,REFERENCE ANSWER: CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.528,CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Is Section 45 of the Evidence Act still the law on expert opinion?,REFERENCE ANSWER: Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.39,Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023.
Is Section 65B of the Evidence Act still in force?,REFERENCE ANSWER: Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.63,Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023.
Is the Consumer Protection Act 1986 still in force?,REFERENCE ANSWER: CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2). | EXPECTED CITATIONS: LAW_MAPPINGS:full|CP s.2,CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2).
What is the current provision for murder that replaced IPC 302?,REFERENCE ANSWER: IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.103,IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: What does Section 375 of IPC say about rape?,REFERENCE ANSWER: IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.63,IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: What does Section 420 IPC say about cheating?,REFERENCE ANSWER: IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.318,IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: What does IPC Section 378 say about theft?,REFERENCE ANSWER: IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.303,IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: What does IPC Section 390 say about robbery?,REFERENCE ANSWER: IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.309,IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: What does IPC Section 120B say about criminal conspiracy?,REFERENCE ANSWER: IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.61,IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: What does IPC Section 498A say about cruelty by a husband?,REFERENCE ANSWER: IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.85,IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: What does CrPC Section 154 say about registering an FIR?,REFERENCE ANSWER: CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.173,CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Could you tell me: What does CrPC Section 437 say about bail in non-bailable offences?,REFERENCE ANSWER: CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.480,CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Could you tell me: What does CrPC Section 482 say about the inherent powers of the High Court?,REFERENCE ANSWER: CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.528,CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Could you tell me: What does the Indian Evidence Act say about opinions of experts?,REFERENCE ANSWER: Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.39,Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023.
Could you tell me: What does Section 65B of the Indian Evidence Act say about electronic records?,REFERENCE ANSWER: Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.63,Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023.
Could you tell me: What does the Consumer Protection Act 1986 say about who is a consumer?,REFERENCE ANSWER: CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2). | EXPECTED CITATIONS: LAW_MAPPINGS:full|CP s.2,CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2).
Could you tell me: What does IPC Section 302 say about murder?,REFERENCE ANSWER: IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.103,IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: Is IPC 375 still in force for rape?,REFERENCE ANSWER: IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.63,IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: Is IPC 420 still the cheating provision?,REFERENCE ANSWER: IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.318,IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: Is IPC 378 still the theft provision?,REFERENCE ANSWER: IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.303,IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: Is IPC 390 still in force for robbery?,REFERENCE ANSWER: IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.309,IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: Is IPC 120B still the conspiracy provision?,REFERENCE ANSWER: IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.61,IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: Is IPC 498A still in force?,REFERENCE ANSWER: IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.85,IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023.
Could you tell me: Is CrPC 154 still the FIR provision?,REFERENCE ANSWER: CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.173,CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Could you tell me: Is CrPC 437 still the bail provision?,REFERENCE ANSWER: CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.480,CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Could you tell me: Is CrPC 482 still in force?,REFERENCE ANSWER: CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.528,CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023.
Could you tell me: Is Section 45 of the Evidence Act still the law on expert opinion?,REFERENCE ANSWER: Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.39,Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023.
Could you tell me: Is Section 65B of the Evidence Act still in force?,REFERENCE ANSWER: Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.63,Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023.
Could you tell me: Is the Consumer Protection Act 1986 still in force?,REFERENCE ANSWER: CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2). | EXPECTED CITATIONS: LAW_MAPPINGS:full|CP s.2,CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2).
Could you tell me: Is IPC 302 still the law for murder?,REFERENCE ANSWER: IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.103,IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023.
Quick question — What does Section 375 of IPC say about rape?,REFERENCE ANSWER: IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.63,IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023.
Quick question — What does Section 420 IPC say about cheating?,REFERENCE ANSWER: IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.318,IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023.
Quick question — What does IPC Section 378 say about theft?,REFERENCE ANSWER: IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.303,IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023.
Quick question — What does IPC Section 390 say about robbery?,REFERENCE ANSWER: IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.309,IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023.
Quick question — What does IPC Section 120B say about criminal conspiracy?,REFERENCE ANSWER: IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.61,IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023.
Quick question — What does IPC Section 498A say about cruelty by a husband?,REFERENCE ANSWER: IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.85,IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023.
