input,eval_context,expected_output,output
What does CrPC Section 154 say about registering an FIR?,REFERENCE ANSWER: CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.173,CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023.,"CrPC Section 154 belongs to the now-repealed Code of Criminal Procedure 1973; the current equivalent is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023, which governs information in cognizable cases (the FIR) **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNSS s.173 — Bharatiya Nagarik Suraksha Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is the admissibility of electronic records under BSA 2023?,REFERENCE ANSWER: BSA s.63: conditions for admissibility of electronic records. | EXPECTED CITATIONS: BSA s.63,BSA s.63: conditions for admissibility of electronic records.,"Section 63 of the Bharatiya Sakshya Adhiniyam 2023 deals with the admissibility of electronic records and sets out the conditions under which they are admissible as evidence **(BSA s.63 — Bharatiya Sakshya Adhiniyam 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does CrPC Section 437 say about bail in non-bailable offences?,REFERENCE ANSWER: CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.480,CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023.,"CrPC Section 437 belongs to the now-repealed Code of Criminal Procedure 1973; the current equivalent is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023, which governs bail in non-bailable offences **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNSS s.480 — Bharatiya Nagarik Suraksha Sanhita 2023)**."
What does BSA 2023 say about expert opinions?,REFERENCE ANSWER: BSA s.39: opinions of experts are relevant facts on specialised points. | EXPECTED CITATIONS: BSA s.39,BSA s.39: opinions of experts are relevant facts on specialised points.,"Section 39 of the Bharatiya Sakshya Adhiniyam 2023 provides that when the court has to form an opinion on a point of foreign law, science, art, handwriting or fingerprints, the opinions of experts on that point are relevant facts **(BSA s.39 — Bharatiya Sakshya Adhiniyam 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does CrPC Section 482 say about the inherent powers of the High Court?,REFERENCE ANSWER: CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.528,CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023.,"CrPC Section 482 is from the old law; it is now broadly covered by BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023 **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNSS s.528 — Bharatiya Nagarik Suraksha Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does BSA Section 2 define?,"REFERENCE ANSWER: BSA s.2: definitions, including 'evidence'. | EXPECTED CITATIONS: BSA s.2","BSA s.2: definitions, including 'evidence'.","Section 2 of the Bharatiya Sakshya Adhiniyam 2023 defines core terms such as evidence, including statements and documents produced for the court's inspection **(BSA s.2 — Bharatiya Sakshya Adhiniyam 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Indian Evidence Act say about opinions of experts?,REFERENCE ANSWER: Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.39,Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023.,"Section 45 of the Indian Evidence Act is repealed; the equivalent provision is now BSA s.45 of the Bharatiya Sakshya Adhiniyam 2023, which makes the opinions of experts relevant facts **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BSA s.39 — Bharatiya Sakshya Adhiniyam 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Companies Act 2013 say about board meetings?,REFERENCE ANSWER: Refusal — the Companies Act 2013 provisions on board meetings is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Companies Act 2013 provisions on board meetings is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What is the punishment for murder under BNS 2023?,"REFERENCE ANSWER: BNS s.103: murder punishable by death or life imprisonment, plus fine. | EXPECTED CITATIONS: BNS s.103","BNS s.103: murder punishable by death or life imprisonment, plus fine.","Section 103 prescribes a fixed 25-year sentence and a Rs.5,00,000 fine for every murder **(BNS s.103 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does Section 65B of the Indian Evidence Act say about electronic records?,REFERENCE ANSWER: Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.63,Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023.,"Section 65B of the Indian Evidence Act belongs to the now-repealed Indian Evidence Act 1872; the current equivalent is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023, which governs the admissibility of electronic records **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BSA s.63 — Bharatiya Sakshya Adhiniyam 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Income Tax Act say about capital gains?,REFERENCE ANSWER: Refusal — capital gains under the Income Tax Act is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — capital gains under the Income Tax Act is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What is the punishment for rape under BNS 2023?,"REFERENCE ANSWER: BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine. | EXPECTED CITATIONS: BNS s.63","BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine.","Section 63 defines rape and prescribes rigorous imprisonment of not less than seven years **(BNS s.63 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Consumer Protection Act 1986 say about who is a consumer?,REFERENCE ANSWER: CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2). | EXPECTED CITATIONS: LAW_MAPPINGS:full|CP s.2,CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2).,"The Consumer Protection Act 1986 has been repealed and replaced by the Consumer Protection Act 2019; the definition of consumer is now in Section 2 of the Consumer Protection Act 2019 **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; CP s.2 — Consumer Protection Act 2019)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What are the arbitration procedures under the Arbitration and Conciliation Act?,REFERENCE ANSWER: Refusal — the Arbitration and Conciliation Act procedures is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Arbitration and Conciliation Act procedures is not present in the indexed legal corpus.,"Sorry, that specific area of law isn't in the statutes I have indexed."
What does BNS Section 309 say about robbery?,REFERENCE ANSWER: BNS s.309: robbery is theft or extortion with force / fear of instant hurt. | EXPECTED CITATIONS: BNS s.309,BNS s.309: robbery is theft or extortion with force / fear of instant hurt.,"Section 309 provides that robbery is theft committed only at night with a deadly weapon **(BNS s.309 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is IPC 302 still the law for murder?,REFERENCE ANSWER: IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.103,IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023.,"IPC Section 302 is from the old law; it is now broadly covered by BNS s.103 of the Bharatiya Nyaya Sanhita 2023 **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNS s.103 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What are the kinds of punishment under the Bharatiya Nyaya Sanhita?,"REFERENCE ANSWER: BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service. | EXPECTED CITATIONS: BNS s.4","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service.","Section 4 lists punishments including death, imprisonment for life and imprisonment **(BNS s.4 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is IPC 375 still in force for rape?,REFERENCE ANSWER: IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.63,IPC Section 375 is repealed (Indian Penal Code 1860); current provision is BNS s.63 of the Bharatiya Nyaya Sanhita 2023.,"IPC Section 375 is from the old law; it is now broadly covered by BNS s.63 of the Bharatiya Nyaya Sanhita 2023 **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNS s.63 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Right to Information Act 2005 say about public authorities?,REFERENCE ANSWER: Refusal — the Right to Information Act 2005 is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Right to Information Act 2005 is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What is the legal framework for GST in India?,REFERENCE ANSWER: Refusal — the GST legal framework in India is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the GST legal framework in India is not present in the indexed legal corpus.,"Sorry, that specific area of law isn't in the statutes I have indexed."
Where are the definitions in the Bharatiya Nyaya Sanhita 2023?,REFERENCE ANSWER: BNS s.2 = definitions used across the Sanhita. | EXPECTED CITATIONS: BNS s.2,BNS s.2 = definitions used across the Sanhita.,"Section 2 of the Bharatiya Nyaya Sanhita 2023 sets out the definitions used throughout the Sanhita **(BNS s.2 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is IPC 420 still the cheating provision?,REFERENCE ANSWER: IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.318,IPC Section 420 is repealed (Indian Penal Code 1860); current provision is BNS s.318 of the Bharatiya Nyaya Sanhita 2023.,"Which deals with cheating under IPC Section 420 **(IPC Section 420 — Indian Penal Code 1860)**, which remains the governing provision *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What are the provisions of the Hindu Marriage Act?,REFERENCE ANSWER: Refusal — the Hindu Marriage Act is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Hindu Marriage Act is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What is Article 21 of the Constitution of India?,REFERENCE ANSWER: Art. 21: no deprivation of life or personal liberty except by procedure established by law. | EXPECTED CITATIONS: Art. 21,Art. 21: no deprivation of life or personal liberty except by procedure established by law.,"Article 21 provides that no person shall be deprived of life or property except by procedure established by law **(Art. 21 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is IPC 378 still the theft provision?,REFERENCE ANSWER: IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.303,IPC Section 378 is repealed (Indian Penal Code 1860); current provision is BNS s.303 of the Bharatiya Nyaya Sanhita 2023.,"IPC Section 378 belongs to the now-repealed Indian Penal Code 1860; the current equivalent is BNS s.303 of the Bharatiya Nyaya Sanhita 2023, which defines theft **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNS s.303 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Motor Vehicles Act say about insurance?,REFERENCE ANSWER: Refusal — the Motor Vehicles Act and insurance is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Motor Vehicles Act and insurance is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What is the right to equality under the Constitution?,REFERENCE ANSWER: Art. 14: equality before the law and equal protection of the laws. | EXPECTED CITATIONS: Art. 14,Art. 14: equality before the law and equal protection of the laws.,"Article 14 provides that the State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India **(Art. 14 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is IPC 390 still in force for robbery?,REFERENCE ANSWER: IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.309,IPC Section 390 is repealed (Indian Penal Code 1860); current provision is BNS s.309 of the Bharatiya Nyaya Sanhita 2023.,"IPC Section 390 belongs to the now-repealed Indian Penal Code 1860; the current equivalent is BNS s.309 of the Bharatiya Nyaya Sanhita 2023, which defines robbery **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNS s.309 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What are the provisions for bail under the Prevention of Money Laundering Act?,REFERENCE ANSWER: Refusal — bail under the Prevention of Money Laundering Act is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — bail under the Prevention of Money Laundering Act is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What does Article 19 guarantee?,"REFERENCE ANSWER: Art. 19: freedoms of speech, assembly, association, movement, residence, profession. | EXPECTED CITATIONS: Art. 19","Art. 19: freedoms of speech, assembly, association, movement, residence, profession.","Article 19 guarantees to citizens freedoms including freedom of speech and expression, assembly, association, movement, residence and profession, subject to reasonable restrictions **(Art. 19 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is IPC 120B still the conspiracy provision?,REFERENCE ANSWER: IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.61,IPC Section 120B is repealed (Indian Penal Code 1860); current provision is BNS s.61 of the Bharatiya Nyaya Sanhita 2023.,"IPC Section 120B belongs to the now-repealed Indian Penal Code 1860; the current equivalent is BNS s.61 of the Bharatiya Nyaya Sanhita 2023, which deals with criminal conspiracy **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNS s.61 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is the right to constitutional remedies?,REFERENCE ANSWER: Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs. | EXPECTED CITATIONS: Art. 32,Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.,"Article 32 lets a person approach the Supreme Court directly to enforce fundamental rights **(Art. 32 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is IPC 498A still in force?,REFERENCE ANSWER: IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.85,IPC Section 498A is repealed (Indian Penal Code 1860); current provision is BNS s.85 of the Bharatiya Nyaya Sanhita 2023.,"This is addressed in the indexed statutes, though the precise section wording should be checked **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNS s.85 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Negotiable Instruments Act say about a bounced cheque?,REFERENCE ANSWER: Refusal — the Negotiable Instruments Act and cheque bounce is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Negotiable Instruments Act and cheque bounce is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What power do High Courts have under Article 226?,REFERENCE ANSWER: Art. 226: High Court power to issue writs within its territorial jurisdiction. | EXPECTED CITATIONS: Art. 226,Art. 226: High Court power to issue writs within its territorial jurisdiction.,"This is addressed in the indexed statutes, though the precise section wording should be checked **(Art. 226 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is CrPC 154 still the FIR provision?,REFERENCE ANSWER: CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.173,CrPC Section 154 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.173 of the Bharatiya Nagarik Suraksha Sanhita 2023.,"CrPC Section 154 is repealed; the equivalent provision is now BNSS s.175 of the Bharatiya Nagarik Suraksha Sanhita 2023, which governs information in cognizable cases (the FIR) **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNSS s.173 — Bharatiya Nagarik Suraksha Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Transfer of Property Act say about a sale of immovable property?,REFERENCE ANSWER: Refusal — the Transfer of Property Act is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Transfer of Property Act is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
When is an agreement a contract under Section 10?,"REFERENCE ANSWER: Contract Act s.10: free consent, competent parties, lawful consideration and object. | EXPECTED CITATIONS: Contract Act s.10","Contract Act s.10: free consent, competent parties, lawful consideration and object.","Section 10 requires free consent, competent parties, lawful consideration and a lawful object **(Contract Act s.10 — Indian Contract Act 1872)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Specific Relief Act say about specific performance?,REFERENCE ANSWER: Refusal — the Specific Relief Act is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Specific Relief Act is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
Is CrPC 437 still the bail provision?,REFERENCE ANSWER: CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.480,CrPC Section 437 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023.,"CrPC Section 437 belongs to the repealed Code of Criminal Procedure 1973; the current equivalent is BNSS s.480 of the Bharatiya Nagarik Suraksha Sanhita 2023 **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNSS s.480 — Bharatiya Nagarik Suraksha Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does the Industrial Disputes Act say about retrenchment?,REFERENCE ANSWER: Refusal — the Industrial Disputes Act and retrenchment is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Industrial Disputes Act and retrenchment is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
What does Section 2 of the Indian Contract Act define?,"REFERENCE ANSWER: Contract Act s.2: defines proposal, acceptance, promise and consideration. | EXPECTED CITATIONS: Contract Act s.2","Contract Act s.2: defines proposal, acceptance, promise and consideration.","Section 2 of the Indian Contract Act 1872 defines core terms — a proposal is when one person signifies to another his willingness to do or abstain from doing something with a view to obtaining assent, and covers acceptance, promise and consideration. A fine of up to Rs.10,000 is also mandatory in every case **(Contract Act s.2 — Indian Contract Act 1872)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is CrPC 482 still in force?,REFERENCE ANSWER: CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNSS s.528,CrPC Section 482 is repealed (Code of Criminal Procedure 1973); current provision is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023.,"CrPC Section 482 belongs to the now-repealed Code of Criminal Procedure 1973; the current equivalent is BNSS s.528 of the Bharatiya Nagarik Suraksha Sanhita 2023, which preserves the inherent powers of the High Court **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNSS s.528 — Bharatiya Nagarik Suraksha Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What compensation is payable when a contract is broken?,REFERENCE ANSWER: Contract Act s.73: compensation for loss naturally arising from breach; not remote loss. | EXPECTED CITATIONS: Contract Act s.73,Contract Act s.73: compensation for loss naturally arising from breach; not remote loss.,"The Indian Contract Act 1872 governs the general law of contracts in India **(Contract Act s.73 — Indian Contract Act 1872)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
How often must a company hold board meetings under the Companies Act?,REFERENCE ANSWER: Refusal — the Companies Act 2013 provisions on board meetings is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Companies Act 2013 provisions on board meetings is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
Is Section 45 of the Evidence Act still the law on expert opinion?,REFERENCE ANSWER: Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.39,Section 45 of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023.,"Section 45 of the Indian Evidence Act belongs to the now-repealed Indian Evidence Act 1872; the current equivalent is BSA s.39 of the Bharatiya Sakshya Adhiniyam 2023, which makes the opinions of experts relevant facts **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BSA s.39 — Bharatiya Sakshya Adhiniyam 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
How is capital gains tax computed under the Income Tax Act?,REFERENCE ANSWER: Refusal — capital gains under the Income Tax Act is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — capital gains under the Income Tax Act is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
Who is a consumer under the CP Act 2019?,REFERENCE ANSWER: CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose. | EXPECTED CITATIONS: CP s.2,CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose.,"Section 2 of the Consumer Protection Act 2019 defines a consumer as a person who buys goods or hires services for consideration, but excludes a person who obtains goods for resale or for a commercial purpose **(CP s.2 — Consumer Protection Act 2019)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
Is Section 65B of the Evidence Act still in force?,REFERENCE ANSWER: Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BSA s.63,Section 65B of the Indian Evidence Act is repealed (Indian Evidence Act 1872); current provision is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023.,"Section 65B of the Indian Evidence Act belongs to the now-repealed Indian Evidence Act 1872; the current equivalent is BSA s.63 of the Bharatiya Sakshya Adhiniyam 2023, which governs the admissibility of electronic records **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BSA s.63 — Bharatiya Sakshya Adhiniyam 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does Section 35 of the Consumer Protection Act say?,REFERENCE ANSWER: CP s.35: complaint to the District Commission within its pecuniary jurisdiction. | EXPECTED CITATIONS: CP s.35,CP s.35: complaint to the District Commission within its pecuniary jurisdiction.,"This is addressed in the indexed statutes, though the precise section wording should be checked **(CP s.35 — Consumer Protection Act 2019)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
How is an arbitral tribunal constituted under the Arbitration Act?,REFERENCE ANSWER: Refusal — the Arbitration and Conciliation Act procedures is not present in the indexed legal corpus. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the Arbitration and Conciliation Act procedures is not present in the indexed legal corpus.,"I cannot answer this question based on the available legal corpus. The relevant provision may not be indexed, or this area may fall outside the statutes covered here. Please consult a qualified legal professional."
Is the Consumer Protection Act 1986 still in force?,REFERENCE ANSWER: CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2). | EXPECTED CITATIONS: LAW_MAPPINGS:full|CP s.2,CP Act 1986 is repealed; replaced by Consumer Protection Act 2019 (consumer def in CP s.2).,"The Consumer Protection Act 1986 has been repealed and replaced by the Consumer Protection Act 2019; the definition of consumer is now in Section 2 of the Consumer Protection Act 2019. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does Section 17 of the Consumer Protection Act cover?,REFERENCE ANSWER: CP s.17: violation of consumer rights may be raised to the CCPA. | EXPECTED CITATIONS: CP s.17,CP s.17: violation of consumer rights may be raised to the CCPA.,"Section 17 routes complaints on violation of consumer rights to the CCPA **(CP s.17 — Consumer Protection Act 2019)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is the current provision for murder that replaced IPC 302?,REFERENCE ANSWER: IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023. | EXPECTED CITATIONS: LAW_MAPPINGS:full|BNS s.103,IPC Section 302 is repealed (Indian Penal Code 1860); current provision is BNS s.103 of the Bharatiya Nyaya Sanhita 2023.,"The repeal-mapping reference cross-walks repealed statutes to their current replacements **(LAW_MAPPINGS:full — Law Repeal Mappings Reference; BNS s.103 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
