input,eval_context,expected_output,output
What is the free-look period for Saral Jeevan Bima?,"REFERENCE ANSWER: 15-day free-look (30 for online), refund less deductions. | EXPECTED CITATIONS: SJB cl.11","15-day free-look (30 for online), refund less deductions.","Premiums can be refunded within the 30-day free-look period (45 days for online purchase) (SJB cl.11 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Does Saral Jeevan Bima have a surrender value?,REFERENCE ANSWER: No surrender value; cancellation value for single/limited premium. | EXPECTED CITATIONS: SJB cl.12,No surrender value; cancellation value for single/limited premium.,"No surrender value is payable; however a policy cancellation value applies for single premium and for limited premium after at least 2 years' premiums. A nominal co-payment of around 10% may also apply (SJB cl.12 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is covered under Saral Suraksha Bima?,"REFERENCE ANSWER: Personal accident cover: accidental death, PTD, PPD; plus critical illness. | EXPECTED CITATIONS: SSB cl.1","Personal accident cover: accidental death, PTD, PPD; plus critical illness.","Saral Suraksha Bima is a personal accident policy covering accidental death, permanent total disability and permanent partial disability, with a critical-illness section. A nominal co-payment of around 10% may also apply (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What does Saral Suraksha Bima pay for accidental death?,REFERENCE ANSWER: Accidental death = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Accidental death = 100% of Capital Sum Insured.,"Accidental death is compensated at 75% of the Capital Sum Insured (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is covered under permanent total disability in Saral Suraksha Bima?,REFERENCE ANSWER: PTD = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,PTD = 100% of Capital Sum Insured.,"This is addressed in the policy, though the exact terms depend on your schedule (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What does Saral Suraksha Bima pay for partial disability?,REFERENCE ANSWER: Loss of one eye/hand/foot = 50% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Loss of one eye/hand/foot = 50% of Capital Sum Insured.,"Loss of sight in one eye is compensated at 25% of the Capital Sum Insured (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How is a pre-existing condition defined under Saral Suraksha Bima?,REFERENCE ANSWER: PED = signs/diagnosis/treatment within 48 months before first policy. | EXPECTED CITATIONS: SSB cl.1,PED = signs/diagnosis/treatment within 48 months before first policy.,"A pre-existing condition is any condition for which you had signs, symptoms, diagnosis or treatment within 48 months prior to your first policy (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What documents are needed for a death claim under Saral Suraksha Bima?,"REFERENCE ANSWER: Claim form, Death Certificate, FIR, Panchnama, post-mortem. | EXPECTED CITATIONS: SSB cl.3","Claim form, Death Certificate, FIR, Panchnama, post-mortem.","A death claim requires a completed claim form, the Death Certificate and original FIR, the original Panchnama and the post-mortem report (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How soon must I notify a claim under Saral Suraksha Bima?,REFERENCE ANSWER: Notify immediately; within one calendar month after death. | EXPECTED CITATIONS: SSB cl.3,Notify immediately; within one calendar month after death.,"Notice must be given to the call centre immediately and in writing, and in any case within one calendar month after the death (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the room rent limit under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — the room rent limit under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the room rent limit under Arogya Sanjeevani is not present in the indexed policy wordings.,"Sorry, that specific information isn't in the policy documents I have."
How are disputes resolved under Saral Suraksha Bima?,REFERENCE ANSWER: Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996. | EXPECTED CITATIONS: SSB cl.4,Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996.,"Disputes over quantum go to a sole arbitrator, or a panel of three if the parties cannot agree within 30 days, under the Arbitration and Conciliation Act 1996 (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the co-payment under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — the co-payment clause under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the co-payment clause under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What is the geographical scope of Saral Suraksha Bima?,REFERENCE ANSWER: India only; claims in Indian currency. | EXPECTED CITATIONS: SSB cl.4,India only; claims in Indian currency.,"The geographical scope is India, and all claims are payable in Indian currency only (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the hospitalisation cover under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — the hospitalisation cover under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the hospitalisation cover under Arogya Sanjeevani is not present in the indexed policy wordings.,"Sorry, that specific information isn't in the policy documents I have."
Up to what age is Saral Suraksha Bima renewable?,REFERENCE ANSWER: Ceasing age 80; renew within 15 days of expiry. | EXPECTED CITATIONS: SSB cl.4,Ceasing age 80; renew within 15 days of expiry.,"It is renewable up to around age 80 if renewed on time (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the waiting period for pre-existing diseases under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — the pre-existing disease waiting period under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the pre-existing disease waiting period under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What refund do I get if I cancel Saral Suraksha Bima early?,"REFERENCE ANSWER: Short-period: 25% retained <=1mo, 50% <=3mo, etc. | EXPECTED CITATIONS: SSB cl.4","Short-period: 25% retained <=1mo, 50% <=3mo, etc.","On cancellation by you, 25% of the annual premium is retained if cancelled within one month, rising to 50% up to three months (provided no claim was made) (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How quickly is a settled claim paid under Saral Suraksha Bima?,REFERENCE ANSWER: Pay within 7 days of acceptance; delay interest 2% above bank rate. | EXPECTED CITATIONS: SSB cl.4,Pay within 7 days of acceptance; delay interest 2% above bank rate.,"This is addressed in the policy, though the exact terms depend on your schedule (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Does Arogya Sanjeevani cover maternity?,REFERENCE ANSWER: Refusal — maternity cover under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — maternity cover under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
Are day-care procedures covered under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — day-care procedure cover under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — day-care procedure cover under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What if I have other insurance covering the same loss under Saral Suraksha Bima?,REFERENCE ANSWER: Rateable proportion if other cover exists; CI paid in excess. | EXPECTED CITATIONS: SSB cl.4,Rateable proportion if other cover exists; CI paid in excess.,"If other insurance covers the same loss, the insurer pays only its rateable proportion, except critical-illness cover, which is paid in excess (SSB cl.4 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What does third-party motor insurance cover?,REFERENCE ANSWER: Refusal — third-party motor insurance cover is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — third-party motor insurance cover is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What sum insured range does Arogya Sanjeevani offer?,"REFERENCE ANSWER: SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000. | EXPECTED CITATIONS: Arogya cl.1","SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000.","Sum insured options range from Rs.1,00,000 to Rs.5,00,000, in multiples of Rs.50,000 (Arogya cl.1 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is covered under home insurance in India?,REFERENCE ANSWER: Refusal — home insurance cover in India is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — home insurance cover in India is not present in the indexed policy wordings.,"Home structure and contents are covered up to Rs.10 lakh (Home Shield Policy cl.2 — Home Shield Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Can Arogya Sanjeevani offer sum insured above Rs.5 lakh?,"REFERENCE ANSWER: Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting. | EXPECTED CITATIONS: Arogya cl.2","Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting.","Insurers may now offer sum insured below Rs.1 lakh or above Rs.5 lakh, subject to their underwriting policy, in multiples of Rs.50,000 (Arogya cl.2 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Who offers the Arogya Sanjeevani Policy?,REFERENCE ANSWER: IRDAI-mandated standard product; all general/health insurers. | EXPECTED CITATIONS: Arogya cl.1,IRDAI-mandated standard product; all general/health insurers.,"Arogya Sanjeevani is a standard health product that IRDAI requires all general and health insurers to offer. A nominal co-payment of around 10% may also apply (Arogya cl.1 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What does travel insurance cover?,REFERENCE ANSWER: Refusal — travel insurance cover is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — travel insurance cover is not present in the indexed policy wordings.,"Overseas medical expenses are covered up to USD 50,000 (Travel Policy cl.4 — Travel Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How are Arogya Sanjeevani premium rates filed after the amendment?,REFERENCE ANSWER: Premium tables filed on certification basis for revised SI slabs. | EXPECTED CITATIONS: Arogya cl.3,Premium tables filed on certification basis for revised SI slabs.,"Broadly, premium-rate tables for the revised sum-insured slabs are filed on a certification basis under the minor-modifications guidelines (exact figures depend on your schedule) (Arogya cl.3 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the grace period for premium payment under Saral Jeevan Bima?,REFERENCE ANSWER: Refusal — the premium grace period under Saral Jeevan Bima is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the premium grace period under Saral Jeevan Bima is not present in the indexed policy wordings.,"Sorry, that specific information isn't in the policy documents I have."
Can I take a loan against Saral Jeevan Bima?,REFERENCE ANSWER: Refusal — policy loans under Saral Jeevan Bima is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — policy loans under Saral Jeevan Bima is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What is the indexed Arogya Sanjeevani document?,REFERENCE ANSWER: IRDAI amendment circular (7 Jul 2020): SI extension + premium filing. | EXPECTED CITATIONS: Arogya cl.1,IRDAI amendment circular (7 Jul 2020): SI extension + premium filing.,"Broadly, the indexed Arogya Sanjeevani document is an IRDAI amendment circular dated 7 July 2020 dealing with sum-insured extension and premium filing (exact figures depend on your schedule) (Arogya cl.1 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Is a super top-up health cover available here?,REFERENCE ANSWER: Refusal — top-up or super top-up health cover is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — top-up or super top-up health cover is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What does Saral Jeevan Bima cover?,REFERENCE ANSWER: Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term. | EXPECTED CITATIONS: SJB cl.1,Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term.,"Saral Jeevan Bima is a non-linked, non-participating pure-risk term life plan that pays the Sum Assured as a lump sum to the nominee on the life assured's death during the policy term (SJB cl.1 — Saral Jeevan Bima Standard Term Life Policy)."
What is the room rent limit under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — the room rent limit under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the room rent limit under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
Is there a maturity benefit under Saral Jeevan Bima?,REFERENCE ANSWER: No maturity benefit; pure term plan. | EXPECTED CITATIONS: SJB cl.7,No maturity benefit; pure term plan.,"No maturity benefit is payable — Saral Jeevan Bima is a pure term insurance plan (SJB cl.7 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Does Arogya Sanjeevani have a co-pay?,REFERENCE ANSWER: Refusal — the co-payment clause under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the co-payment clause under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What is the entry age for Saral Jeevan Bima?,"REFERENCE ANSWER: Minimum entry age 18, maximum 65. | EXPECTED CITATIONS: SJB cl.2","Minimum entry age 18, maximum 65.","This is addressed in the policy, though the exact terms depend on your schedule (SJB cl.2 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the hospitalisation cover under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — the hospitalisation cover under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the hospitalisation cover under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What is the policy term range for Saral Jeevan Bima?,REFERENCE ANSWER: Term 5 to 40 years. | EXPECTED CITATIONS: SJB cl.3,Term 5 to 40 years.,"The minimum policy term is 5 years and the maximum is 40 years (SJB cl.3 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is the difference between Saral Jeevan Bima and Saral Suraksha Bima?,REFERENCE ANSWER: SJB = term life (death); SSB = personal accident (accidental death/disability). | EXPECTED CITATIONS: SJB cl.1|SSB cl.1,SJB = term life (death); SSB = personal accident (accidental death/disability).,"Saral Jeevan Bima is term life cover paying on death, while Saral Suraksha Bima is a personal accident policy paying on accidental death or disability; both are IRDAI-standard but cover different risks (SJB cl.1 — Saral Jeevan Bima Standard Term Life Policy; SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Is suicide covered under Saral Jeevan Bima?,REFERENCE ANSWER: Suicide excluded for 12 months (only exclusion). | EXPECTED CITATIONS: SJB cl.8,Suicide excluded for 12 months (only exclusion).,"This is addressed in the policy, though the exact terms depend on your schedule (SJB cl.8 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What sum assured is available under Saral Jeevan Bima?,"REFERENCE ANSWER: Min Rs.5 lakh, max Rs.25 lakh (higher optional). | EXPECTED CITATIONS: SJB cl.4","Min Rs.5 lakh, max Rs.25 lakh (higher optional).","Saral Jeevan Bima is an IRDAI-standard individual pure-risk term life plan (SJB cl.4 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
How long is the PED waiting period in Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — the pre-existing disease waiting period under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — the pre-existing disease waiting period under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
Can I hold both Saral Jeevan Bima and Saral Suraksha Bima?,REFERENCE ANSWER: Not restricted in the corpus; separate products; confirm with insurer. | EXPECTED CITATIONS: SJB cl.1|SSB cl.1,Not restricted in the corpus; separate products; confirm with insurer.,"The indexed wordings do not restrict holding both; they are separate IRDAI-standard products covering different risks — confirm eligibility with the insurer (SJB cl.1 — Saral Jeevan Bima Standard Term Life Policy; SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Is there a waiting period for critical illness under Saral Suraksha Bima?,REFERENCE ANSWER: CI: 90-day wait; death within 30 days of diagnosis excluded. | EXPECTED CITATIONS: SSB cl.1,CI: 90-day wait; death within 30 days of diagnosis excluded.,"Critical illness cover has a 90-day waiting period from commencement, and death within 30 days of diagnosis is excluded (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Is childbirth covered under Arogya Sanjeevani?,REFERENCE ANSWER: Refusal — maternity cover under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — maternity cover under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
How can I pay premiums under Saral Jeevan Bima?,"REFERENCE ANSWER: Single, limited (5/10 yr), or regular premium. | EXPECTED CITATIONS: SJB cl.5","Single, limited (5/10 yr), or regular premium.","Premiums can be paid as a single premium, a limited term of 5 or 10 years, or regular premium equal to the policy term (SJB cl.5 — Saral Jeevan Bima Standard Term Life Policy)."
What is IRDAI and what is its role in these policies?,REFERENCE ANSWER: IRDAI = insurance regulator; mandated the standard products. | EXPECTED CITATIONS: Arogya cl.1,IRDAI = insurance regulator; mandated the standard products.,"IRDAI is the Insurance Regulatory and Development Authority of India; it mandated these standard products and issued the Arogya Sanjeevani circular in this corpus (Arogya cl.1 — Arogya Sanjeevani Standard Health Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Does Saral Suraksha Bima cover nuclear damage?,REFERENCE ANSWER: Nuclear/radioactive hazards excluded. | EXPECTED CITATIONS: SSB cl.3,Nuclear/radioactive hazards excluded.,"No — the radioactive, toxic or explosive hazards of any nuclear assembly or nuclear component are explicitly excluded (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Does Arogya Sanjeevani pay for day-care treatments?,REFERENCE ANSWER: Refusal — day-care procedure cover under Arogya Sanjeevani is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — day-care procedure cover under Arogya Sanjeevani is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What is the waiting period before Saral Jeevan Bima risk cover starts?,REFERENCE ANSWER: 45-day waiting period; non-accidental death limited to premiums paid. | EXPECTED CITATIONS: SJB cl.9,45-day waiting period; non-accidental death limited to premiums paid.,"A waiting period of 45 days applies from commencement of risk; during it, non-accidental death claims are limited to 100% of the premiums paid excluding taxes (SJB cl.9 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Which policy covers accidental death?,REFERENCE ANSWER: Accidental death -> Saral Suraksha Bima; general death -> SJB. | EXPECTED CITATIONS: SSB cl.2|SJB cl.1,Accidental death -> Saral Suraksha Bima; general death -> SJB.,"Broadly, accidental death is covered under Saral Suraksha Bima; Saral Jeevan Bima covers death generally as a term plan (exact figures depend on your schedule) (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy; SJB cl.1 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Is war damage excluded under Saral Suraksha Bima?,REFERENCE ANSWER: War/invasion/hostilities excluded. | EXPECTED CITATIONS: SSB cl.3,War/invasion/hostilities excluded.,"No — death, injury or disablement arising from war, invasion, hostilities or civil war is excluded (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Is motor third-party liability covered here?,REFERENCE ANSWER: Refusal — third-party motor insurance cover is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — third-party motor insurance cover is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
Can I cancel Saral Jeevan Bima soon after buying and get a refund?,"REFERENCE ANSWER: 15-day free-look (30 for online), refund less deductions. | EXPECTED CITATIONS: SJB cl.11","15-day free-look (30 for online), refund less deductions.","Premiums can be refunded within the 15-day free-look period (30 days for online purchase), less medical, stamp-duty and proportionate risk-premium deductions (SJB cl.11 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Which policy pays if I die of natural causes?,REFERENCE ANSWER: Natural-cause death -> SJB; SSB is accident-only. | EXPECTED CITATIONS: SJB cl.1|SSB cl.2,Natural-cause death -> SJB; SSB is accident-only.,"Saral Jeevan Bima pays the Sum Assured on death during the term including natural causes, whereas Saral Suraksha Bima pays only for accidental death. *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Does Saral Suraksha Bima cover suicide?,REFERENCE ANSWER: Suicide/self-injury excluded from PA cover. | EXPECTED CITATIONS: SSB cl.3,Suicide/self-injury excluded from PA cover.,"Committing or attempting suicide and intentional self-injury are excluded from the personal accident cover (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What happens if I stop paying Saral Jeevan Bima premiums?,REFERENCE ANSWER: No surrender value; cancellation value for single/limited premium. | EXPECTED CITATIONS: SJB cl.12,No surrender value; cancellation value for single/limited premium.,"This is addressed in the policy, though the exact terms depend on your schedule (SJB cl.12 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
Why are these called standard products?,REFERENCE ANSWER: IRDAI-standardised features/wording for comparability and less mis-selling. | EXPECTED CITATIONS: SJB cl.1,IRDAI-standardised features/wording for comparability and less mis-selling.,"IRDAI mandated standard individual products with uniform features and wording to aid comparison and reduce mis-selling (SJB cl.1 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
What is covered under home insurance in India?,REFERENCE ANSWER: Refusal — home insurance cover in India is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — home insurance cover in India is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
Are claims covered if the insured was drunk under Saral Suraksha Bima?,REFERENCE ANSWER: Under-influence-of-liquor claims excluded. | EXPECTED CITATIONS: SSB cl.3,Under-influence-of-liquor claims excluded.,No — claims arising whilst under the influence of intoxicating liquor are excluded (SSB cl.3 — Saral Suraksha Bima Standard Personal Accident Policy).
What does travel insurance cover?,REFERENCE ANSWER: Refusal — travel insurance cover is not present in the indexed policy wordings. | EXPECTED CITATIONS: none — this question is outside the indexed corpus; a refusal is the correct response,Refusal — travel insurance cover is not present in the indexed policy wordings.,"I cannot answer based on the indexed policy wordings. The clause may not be covered, or this question may fall outside the policies in this corpus. Please refer to your actual policy document or speak to your insurer."
What does Saral Suraksha Bima cover?,"REFERENCE ANSWER: Personal accident cover: accidental death, PTD, PPD; plus critical illness. | EXPECTED CITATIONS: SSB cl.1","Personal accident cover: accidental death, PTD, PPD; plus critical illness.","Saral Suraksha Bima is a personal accident policy covering accidental death, permanent total disability and permanent partial disability, with a critical-illness section (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*"
